scale,dataset,sample_id,sample_index,rank,candidate_index,candidate_id,candidate_label,distance,is_same_label,is_random4
144k,vggss,-0BIyqJj9ZU_000030,0,1,4753,sQ3NiBJoqtc_000112,playing shofar,1.531200177851133e-05,False,False
144k,vggss,-0BIyqJj9ZU_000030,0,2,1389,DWLJMnVOT20_000083,popping popcorn,1.5735206034150906e-05,False,False
144k,vggss,-0BIyqJj9ZU_000030,0,3,2109,LvpgSdHLuCY_000320,baby laughter,1.8251437722938135e-05,False,False
144k,vggss,-0BIyqJj9ZU_000030,0,4,1404,Ddo9DOeh-PA_000218,people slurping,1.8536340576247312e-05,False,False
144k,vggss,-0UuUoXQUoI_000107,1,1,1864,Iy2HaWAAnvQ_000173,train whistling,1.4099587133387104e-05,False,False
144k,vggss,-0UuUoXQUoI_000107,1,2,227,1ACn3u5UnBw_000030,male singing,2.4253155061160214e-05,False,False
144k,vggss,-0UuUoXQUoI_000107,1,3,1735,HajY_r6RNy0_000090,playing accordion,3.1031653634272516e-05,False,False
144k,vggss,-0UuUoXQUoI_000107,1,4,958,9QEm6u4bowQ_000030,playing electric guitar,3.137953535770066e-05,False,False
144k,vggss,-2-wdcN5vOw_000017,2,1,1566,FndCEC7yK2g_000104,airplane flyby,4.936804089084035e-06,False,False
144k,vggss,-2-wdcN5vOw_000017,2,2,412,39rXWSXGOyo_000080,cat purring,9.635044079914223e-06,False,False
144k,vggss,-2-wdcN5vOw_000017,2,3,4033,iY6gP4y8Shk_000010,people hiccup,1.0458821634529158e-05,False,False
144k,vggss,-2-wdcN5vOw_000017,2,4,2639,SJ9TY-iqD9Q_000010,child singing,1.260146382264793e-05,False,False
144k,vggss,-23CeprtibU_000030,3,1,2080,LUfzlkl-Dac_000001,baby crying,1.1049980457755737e-05,False,False
144k,vggss,-23CeprtibU_000030,3,2,4856,uA6Ycad4cLg_000173,blowtorch igniting,1.143493500421755e-05,False,True
144k,vggss,-23CeprtibU_000030,3,3,175,0glBUluF4Yk_000175,fox barking,1.5918891222099774e-05,False,False
144k,vggss,-23CeprtibU_000030,3,4,1720,HQAaW-5IwHo_000016,cricket chirping,1.6068417608039454e-05,False,False
144k,vggss,-2Dm0VjW8oM_000001,4,1,686,6DXkv8hTM0k_000003,francolin calling,1.3807192772219423e-05,False,False
144k,vggss,-2Dm0VjW8oM_000001,4,2,2493,QUte9W0g2Yo_000017,eletric blender running,1.9392657122807577e-05,False,False
